Filename,Ground Truth,Prediction,Postprocessed,Inference Time,WER,CER,RTF
9d0fc2d3-57d8-48ff-9ff8-6059859d2e75,alpha four in two seven zero,Alpha 4 in 270.,alpha four in two seven zero,0.6611,0.00%,0.00%,0.2540
9e244a94-6b20-43ab-bf46-9c72bd6afc2a,cleared for takeoff,"Kareo 4, take off.",kareo four take off,0.7713,133.33%,31.58%,0.2760
9efbf031-80e1-4b4c-9818-f087b8e5bb8f,delta three off,Data free of.,data free of,0.6298,100.00%,33.33%,0.2785
a4561da5-7097-47ec-8500-615ad425478f,beta one in nine thousand,Beta 1 in 9000s,beta one in nine thousand s,0.7009,20.00%,8.00%,0.2832
a5b8c7d1-8db0-4971-b24b-38102170817b,gamma two go cover three six zero,Gamma 2 Gold Cover 360,gamma two gold cover three six zero,0.6979,14.29%,6.06%,0.1788
a5c4bf41-bb19-4a99-bb75-c701ef096009,bravo seven mission complete,Bubble 7 Mission Complete,bubble seven mission complete,0.6977,25.00%,17.86%,0.2441
ad5aaeb4-8e36-4544-90da-0925eccf12a3,mission complete,Mission Complete,mission complete,0.5929,0.00%,0.00%,0.2725
b5e1fd8a-4b8a-4844-b1e7-a0dee235294a,alfa four angle one eight zero,Alpha 4 angle 180,alpha four angle one eight zero,0.6294,16.67%,6.67%,0.1300
bdab1b76-81ee-461a-b82a-5af8a6ee520a,delta three off,Delta 3.0,delta three zero,0.6237,33.33%,26.67%,0.2894
bed24e0b-2b05-4ab6-b741-38398d38f0a4,delta one off,字幕由 Amara.org 社群提供,字幕由 amaraorg 社群提供,0.9756,100.00%,107.69%,0.3518
c729e3e1-4372-4f25-87e2-a5c82fd2d148,delta one scramble,Delta One 狂播,delta one 狂播,0.7291,33.33%,44.44%,0.4272
c9a5a879-403c-4a42-ba84-b6367adc88c2,mission complete,Mission complete.,mission complete,0.5961,0.00%,0.00%,0.3326
cc03b073-87aa-4697-9e42-2a12c6c62c11,alpha two go cover one o one,AFA TO GO COVER 101,afa to go cover one zero one,0.7358,42.86%,25.00%,0.1526
ce962a89-296a-4ab1-aaba-e66203a886d4,gamma nine engaged,Gamma9 Engage,gamma nine engage,0.7143,33.33%,5.56%,0.2480
d0458c64-6333-471a-b38c-b6c03d65083f,delta one scramble,Delta One Scramble,delta one scramble,0.6670,0.00%,0.00%,0.1776
d7850d3c-4cb5-4173-8283-929eabc64577,delta three off,Delta 3 off,delta three off,0.6285,0.00%,0.00%,0.2198
d7ec8e61-6556-4002-836c-be657dddb214,holding hands,Holding Hands,holding hands,0.5648,0.00%,0.00%,0.2118
d98c9496-ebd2-4247-8a83-000339736b18,bravo two go cover two zero zero,"Bravo 2, go cover 2-0-0.",bravo two go cover two zero zero,0.8751,0.00%,0.00%,0.2951
da7720cf-2786-4df8-8229-aec7b704a1a3,gamma five heading eight thousand,Gamma 5 heading 8000,gamma five heading eight thousand,0.7023,0.00%,0.00%,0.2180
dbb035f2-a6bf-44ff-b80e-52667d9e8a6d,holding hands,Holding hands.,holding hands,0.6036,0.00%,0.00%,0.2721
ddf50ce3-f340-45f2-8a18-24a992505a52,delta three off,DELTA 3OFF,delta three off,0.6665,0.00%,0.00%,0.2479
de3a2bd9-ab88-4983-9606-b0f93ef060f3,gamma seven in edge,Gamma 7音樂曲,gamma seven 音樂曲,0.7404,50.00%,36.84%,0.3072
e18a700f-b5aa-498d-b012-6ab4ac0aea6a,delta five off three thousand,Data file of 3000,data file of three thousand,0.6690,60.00%,13.79%,0.1960
e1ed0643-ccfb-4803-9fcd-d36f883f426d,beta two engaged,베타 투 잉게이징,베타 투 잉게이징,0.8152,100.00%,87.50%,0.2582
e5a67927-c1d5-46a0-a99d-b34b0d360163,mission complete,미션 컴플리트,미션 컴플리트,0.7870,100.00%,93.75%,0.3803
e9ea0ee7-a5b8-48fe-a230-a264e2fefc9c,mission complete,明星堂會議,明星堂會議,0.7108,100.00%,100.00%,0.3143
ee19baaa-6d2c-4f9b-be4d-390d1b2e22bd,delta three off,델타 3 오픈,델타 three 오픈,0.7390,66.67%,53.33%,0.3149
f09e0d3f-3de0-4a0d-950c-9a5e0d0c4c78,alpha one scramble,Alpha One Scrambler,alpha one scrambler,0.6684,33.33%,5.56%,0.2429
f2e5e8a4-54c1-461c-a724-d3636886394f,delta nine heading,DELTA 9 HEADING,delta nine heading,0.7394,0.00%,0.00%,0.3301
f4ec48e8-5a34-4eef-a5b6-75cab3899277,alpha two go cover zero one zero,Alpha 2 go cover 010.,alpha two go cover zero one zero,0.7532,0.00%,0.00%,0.2402
f81f5414-b591-455c-bc94-b68450f71acb,beta three off,Data free of.,data free of,0.6313,100.00%,35.71%,0.3609
f9e94f93-e6d0-4e09-8cf3-79f20219e95d,alpha six angle one two zero,Alpha 6 and Go 120.,alpha six and go one two zero,0.7103,33.33%,14.29%,0.2581
fc70b395-2fe3-41d7-8dc2-ac3bd7d43716,beta one off two zero zero,Beta 1 of 2 0 0,beta one of two zero zero,0.7079,16.67%,3.85%,0.3191
Averages,,,0.7158,41.61%,26.80%,0.2805
