Filename,Ground Truth,Prediction,Postprocessed,Inference Time,WER,CER,RTF
d98c9496-ebd2-4247-8a83-000339736b18,bravo two go cover two zero zero,bober two go cover to zero zero,bober two go cover to zero zero,0.0752,28.57%,15.62%,0.0254
da7720cf-2786-4df8-8229-aec7b704a1a3,gamma five heading eight thousand,gama five heading eight thousand,gama five heading eight thousand,0.0746,20.00%,3.03%,0.0231
dbb035f2-a6bf-44ff-b80e-52667d9e8a6d,holding hands,holding hands,holding hands,0.0732,0.00%,0.00%,0.0330
ddf50ce3-f340-45f2-8a18-24a992505a52,delta three off,dta three of,dta three of,0.0743,66.67%,20.00%,0.0276
de3a2bd9-ab88-4983-9606-b0f93ef060f3,gamma seven in edge,gmma seven in age,gmma seven in age,0.0736,50.00%,15.79%,0.0305
e18a700f-b5aa-498d-b012-6ab4ac0aea6a,delta five off three thousand,data five of three thousand,data five of three thousand,0.0759,40.00%,10.34%,0.0222
e1ed0643-ccfb-4803-9fcd-d36f883f426d,beta two engaged,beta to engage,beta to engage,0.0757,66.67%,12.50%,0.0240
e5a67927-c1d5-46a0-a99d-b34b0d360163,mission complete,mission complete,mission complete,0.0741,0.00%,0.00%,0.0358
e9ea0ee7-a5b8-48fe-a230-a264e2fefc9c,mission complete,mission company,mission company,0.0776,50.00%,25.00%,0.0343
ee19baaa-6d2c-4f9b-be4d-390d1b2e22bd,delta three off,delta three of,delta three of,0.0855,33.33%,6.67%,0.0364
f09e0d3f-3de0-4a0d-950c-9a5e0d0c4c78,alpha one scramble,alpha one scramble,alpha one scramble,0.0764,0.00%,0.00%,0.0278
f2e5e8a4-54c1-461c-a724-d3636886394f,delta nine heading,delta nine heading,delta nine heading,0.0752,0.00%,0.00%,0.0336
f4ec48e8-5a34-4eef-a5b6-75cab3899277,alpha two go cover zero one zero,af two go cover zero one zero,af two go cover zero one zero,0.0752,14.29%,12.50%,0.0240
f81f5414-b591-455c-bc94-b68450f71acb,beta three off,data free of,data free of,0.0740,100.00%,35.71%,0.0423
f9e94f93-e6d0-4e09-8cf3-79f20219e95d,alpha six angle one two zero,alpha six and one two zero,alpha six and one two zero,0.0740,16.67%,10.71%,0.0269
fc70b395-2fe3-41d7-8dc2-ac3bd7d43716,beta one off two zero zero,beta one of two zero zero,beta one of two zero zero,0.0746,16.67%,3.85%,0.0336
Averages,,,0.0760,40.62%,15.19%,0.0299
